Organisme,Code,Projet,Gouvernorat,Nom reponsable,Contact mail,Telephone1,Telephone2,Fax,Activité,Spéculation,Superficie,Nombre des opérateurs,Estimation,Producteur,Ceuilleur,Transfo,Exporter,aquaculteur
Kiwa,19997,Ben Chabbat Al Jedid   ,Tozeur,0,0,0,0,0,a,Dattes,62.0,31,700,1,0,0,0,0
Kiwa,2910,Medifruit ,Ben Arous,0,0,0,0,0,C. d,conditionnement dattes,0.0,1,900,0,0,1,1,0
Kiwa,23266,Horchani Dattes Internationales,Kebili,0,0,0,0,0,A. c. d,Dattes et conditionnement dattes,20.0,14,210,1,0,1,1,0
Kiwa,02910/1,Plantation Amal ,Kebili ,0,0,0,0,0,a,Dattes ,13.5,9,175,1,0,0,0,0
Kiwa,37519,Groupement Al Wahat,Tozeur,0,0,0,0,0,A,Dattes ,65.7,66,720,1,0,0,0,0
Kiwa,18932,SouthOrganic ,Kebili ,0,0,0,0,0,c. d,Dattes et conditionnement dattes,0.0,1,1700,0,0,1,1,0
Kiwa,28387,Groupement Deglet Babay ,Tozeur,0,0,0,0,0,A,Dattes,16.0,8,176,1,0,0,0,0
Kiwa,38009,Groupement Horchani BioDattes ,Tozeur,0,0,0,0,0,A,Dattes ,23.5,13,200,1,0,0,0,0
Kiwa,38009,Groupement Horchani Biodattes , Gafsa,0,0,0,0,0,A,Dattes ,18.0,1,105,1,0,0,0,0
Kiwa,38009,GroupementHorchani BioDattes ,Kebili  ,0,0,0,0,0,A,Dattes ,28.0,14,220,1,0,0,0,0
